date,azimuth,altitude,radiation
2005-01-01 00:00:00-07:00,339.9073390033234,-64.0345567571919,0.0
2005-01-01 01:00:00-07:00,12.134202465626373,-64.74201404867175,0.0
2005-01-01 02:00:00-07:00,40.65882436084914,-60.21062101052813,0.0
2005-01-01 03:00:00-07:00,61.315029899113284,-52.365956976158955,0.0
2005-01-01 04:00:00-07:00,76.44279037375769,-42.9820828379591,0.0
2005-01-01 05:00:00-07:00,88.60839548123118,-33.01662465281391,0.0
2005-01-01 06:00:00-07:00,99.37758801038858,-22.99077766959431,0.0
2005-01-01 07:00:00-07:00,109.69257375077436,-13.260327306126348,0.0
2005-01-01 08:00:00-07:00,120.18540306335757,-4.142471646451268,0.0
2005-01-01 09:00:00-07:00,131.32244527373354,4.207567166125061,184.94847409423946
2005-01-01 10:00:00-07:00,143.43278416600822,10.92103707600686,591.998681895454
2005-01-01 11:00:00-07:00,156.64891955528884,15.927274252722622,743.3477446261604
2005-01-01 12:00:00-07:00,170.80289886465107,18.745486096668863,800.5730159981305
2005-01-01 13:00:00-07:00,185.38938912857307,19.083089623096058,806.5118900629643
2005-01-01 14:00:00-07:00,199.71990429151384,16.902722779726332,764.8488355060597
2005-01-01 15:00:00-07:00,213.21686287447875,12.436763571773785,646.7478769061707
2005-01-01 16:00:00-07:00,225.62039986478726,6.115146880506536,333.97690240941716
2005-01-01 17:00:00-07:00,236.9936905167013,-1.870365305398756,0.0
2005-01-01 18:00:00-07:00,247.6229750345276,-10.769435865605741,0.0
2005-01-01 19:00:00-07:00,257.9401627480556,-20.366547316149397,0.0
2005-01-01 20:00:00-07:00,268.5258995692926,-30.342067723956376,0.0
2005-01-01 21:00:00-07:00,280.2191619651584,-40.35806888014368,0.0
2005-01-01 22:00:00-07:00,294.38014588401717,-49.95382353598608,0.0
2005-01-01 23:00:00-07:00,313.29465709001585,-58.322234479653446,0.0
2005-01-02 00:00:00-07:00,339.71996854507995,-63.92277130303846,0.0
2005-01-02 01:00:00-07:00,11.854077087963333,-64.67148793622098,0.0
2005-01-02 02:00:00-07:00,40.384200923147176,-60.18390861840717,0.0
2005-01-02 03:00:00-07:00,61.086989185014076,-52.3665376066098,0.0
2005-01-02 04:00:00-07:00,76.25308950243124,-42.99549392271887,0.0
2005-01-02 05:00:00-07:00,88.44319281205418,-33.03383093488431,0.0
2005-01-02 06:00:00-07:00,99.22666572072369,-23.005847406485238,0.0
2005-01-02 07:00:00-07:00,109.54909030299297,-13.26872214725189,0.0
2005-01-02 08:00:00-07:00,120.0449813179587,-4.140166070336314,0.0
2005-01-02 09:00:00-07:00,131.182878400854,4.223907970930836,186.49852968410886
2005-01-02 10:00:00-07:00,143.29435097974147,10.95586698298177,593.5988565517229
2005-01-02 11:00:00-07:00,156.51489521859781,15.983168399939427,744.8337994767063
2005-01-02 12:00:00-07:00,170.67929840915394,18.823429039037066,802.142310522836
2005-01-02 13:00:00-07:00,185.2829626360023,19.18152635056186,808.3922795021156
2005-01-02 14:00:00-07:00,199.6350858714756,17.01775199621147,767.4504081035648
2005-01-02 15:00:00-07:00,213.15412773086393,12.56332069018852,651.1303753616722
2005-01-02 16:00:00-07:00,225.5770906244254,6.247386941143774,343.549686555784
2005-01-02 17:00:00-07:00,236.9658426998373,-1.7315478110426556,0.0
2005-01-02 18:00:00-07:00,247.60656030121132,-10.628607873815708,0.0
2005-01-02 19:00:00-07:00,257.9313457015613,-20.224871329381614,0.0
2005-01-02 20:00:00-07:00,268.52037661146153,-30.20006182707804,0.0
2005-01-02 21:00:00-07:00,280.21020563122556,-40.21597776176854,0.0
2005-01-02 22:00:00-07:00,294.3537004949904,-49.81242150833697,0.0
2005-01-02 23:00:00-07:00,313.2186274172851,-58.18536533659101,0.0
2005-01-03 00:00:00-07:00,339.54093495965753,-63.803766049824716,0.0
2005-01-03 01:00:00-07:00,11.575502852579916,-64.59282997321412,0.0
2005-01-03 02:00:00-07:00,40.10499400290783,-60.149449794115725,0.0
2005-01-03 03:00:00-07:00,60.85258426840632,-52.36014295396381,0.0
2005-01-03 04:00:00-07:00,76.05717273769768,-43.00245365688384,0.0
2005-01-03 05:00:00-07:00,88.27235996067228,-33.0448181722004,0.0
2005-01-03 06:00:00-07:00,99.07072843561598,-23.014712061423822,0.0
2005-01-03 07:00:00-07:00,109.40117756988012,-13.270771425336111,0.0
2005-01-03 08:00:00-07:00,119.9007276637509,-4.1312685030379885,0.0
2005-01-03 09:00:00-07:00,131.0401656313815,4.246932980756738,188.5766901844522
2005-01-03 10:00:00-07:00,143.15363669531695,10.997854931373448,595.42960495591
2005-01-03 11:00:00-07:00,156.37970442774414,16.046477820361623,746.4402388578116
2005-01-03 12:00:00-07:00,170.55588952296793,18.908862002666268,803.7932599478206
2005-01-03 13:00:00-07:00,185.1781966255395,19.28728965735108,810.342404730426
2005-01-03 14:00:00-07:00,199.55329301992242,17.139707666144215,770.1270636936703
2005-01-03 15:00:00-07:00,213.0955170104906,12.696240718770111,655.6157780407805
2005-01-03 16:00:00-07:00,225.53871503727427,6.385378526942315,353.3399306403058
2005-01-03 17:00:00-07:00,236.9435324627661,-1.587532585658084,0.0
2005-01-03 18:00:00-07:00,247.5962017389969,-10.483056034685587,0.0
2005-01-03 19:00:00-07:00,257.9291322957446,-20.078802234275127,0.0
2005-01-03 20:00:00-07:00,268.52213337501,-30.053809270376902,0.0
2005-01-03 21:00:00-07:00,280.20941302016786,-40.069541591407415,0.0
2005-01-03 22:00:00-07:00,294.336501898663,-49.66622856649199,0.0
